Model,CV Accuracy (mean),CV Accuracy (std),CV Macro F1 (mean),CV Macro F1 (std),Test Accuracy,Test Macro F1,Test Precision (macro),Test Recall (macro),Train Time (s)
Logistic Regression,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.13
KNN,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.006
XGBoost,1.0,0.0,1.0,0.0,0.9761904761904762,0.9837398373983739,0.9878048780487805,0.9878048780487805,3.111
